id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
606017,MALE,27,30-11-19,11:20:00 PM
606013,OTHER,19,30-11-19,11:15:00 PM
605987,FEMALE,24,30-11-19,10:45:00 PM
605985,FEMALE,39,30-11-19,10:41:00 PM
605977,MALE,49,30-11-19,10:23:00 PM
605970,FEMALE,23,30-11-19,10:09:00 PM
605969,MALE,21,30-11-19,10:09:00 PM
605961,FEMALE,38,30-11-19,9:57:00 PM
605957,OTHER,20,30-11-19,9:55:00 PM
605950,OTHER,29,30-11-19,9:42:00 PM
605945,MALE,19,30-11-19,9:34:00 PM
605943,FEMALE,22,30-11-19,9:29:00 PM
605939,MALE,21,30-11-19,9:23:00 PM
605934,MALE,33,30-11-19,9:14:00 PM
605933,MALE,32,30-11-19,9:07:00 PM
605925,MALE,31,30-11-19,8:55:00 PM
605923,FEMALE,25,30-11-19,8:55:00 PM
605921,MALE,48,30-11-19,8:52:00 PM
605910,MALE,44,30-11-19,8:45:00 PM
605899,MALE,28,30-11-19,8:39:00 PM
605895,MALE,20,30-11-19,8:36:00 PM
605893,MALE,38,30-11-19,8:35:00 PM
605880,MALE,36,30-11-19,8:28:00 PM
605875,MALE,28,30-11-19,8:25:00 PM
605868,MALE,19,30-11-19,8:18:00 PM
605864,OTHER,57,30-11-19,8:13:00 PM
605860,FEMALE,26,30-11-19,8:12:00 PM
605856,FEMALE,20,30-11-19,8:10:00 PM
605853,MALE,22,30-11-19,8:09:00 PM
605851,OTHER,21,30-11-19,8:07:00 PM
605850,OTHER,42,30-11-19,8:07:00 PM
605844,FEMALE,40,30-11-19,8:02:00 PM
605839,OTHER,22,30-11-19,7:57:00 PM
605833,OTHER,56,30-11-19,7:53:00 PM
605832,FEMALE,63,06-10-20,3:56:00 PM
605831,FEMALE,47,30-11-19,7:52:00 PM
605825,FEMALE,25,30-11-19,7:46:00 PM
605824,MALE,33,30-11-19,7:46:00 PM
605823,FEMALE,25,30-11-19,7:45:00 PM
605819,MALE,29,30-11-19,7:43:00 PM
605813,MALE,29,30-11-19,7:40:00 PM
605803,MALE,34,30-11-19,7:31:00 PM
